epoch,auc,loss,lr,pfbeta,val_auc,val_loss,val_pfbeta
0,0.5247551798820496,0.003953801468014717,5e-06,0.03859907388687134,0.5298054814338684,0.0037594193127006292,0.035095926374197006
1,0.5242435336112976,0.0023310109972953796,1.2e-05,0.03839198872447014,0.5276523232460022,0.0019206467550247908,0.034752946346998215
2,0.5345346331596375,0.0017423909157514572,1.9e-05,0.03883612900972366,0.5401454567909241,0.0016507637919858098,0.035199426114559174
3,0.5444814562797546,0.0016111067961901426,2.6e-05,0.03880918771028519,0.5483711361885071,0.0015911504160612822,0.03518272936344147
4,0.5519726872444153,0.001551071647554636,3.3e-05,0.03880906477570534,0.5567305088043213,0.0015510343946516514,0.035666324198246
5,0.5617811679840088,0.0015307482099160552,4e-05,0.039039626717567444,0.5680501461029053,0.001494328840635717,0.03604201599955559
6,0.5759175419807434,0.0014685027999803424,3.22e-05,0.03974417597055435,0.5839459300041199,0.0014410309959203005,0.03641773760318756
7,0.5926658511161804,0.0014107725583016872,2.596e-05,0.04041443392634392,0.6009795069694519,0.001412519020959735,0.03676184266805649
8,0.6097016930580139,0.0013691710773855448,2.0968e-05,0.040948208421468735,0.6176992058753967,0.0014134040102362633,0.03706342354416847
9,0.6258186101913452,0.0013149265432730317,1.69744e-05,0.04178602248430252,0.6335935592651367,0.0015116892755031586,0.03729935362935066
10,0.6411758661270142,0.0012471080990508199,1.377952e-05,0.04307784512639046,0.6493576765060425,0.0014665968483313918,0.037850406020879745
11,0.6565843820571899,0.0012244221288710833,1.1223616e-05,0.04339791461825371,0.6637582778930664,0.0015200559282675385,0.03809243068099022
12,0.670748233795166,0.0011590676149353385,9.1788925e-06,0.045041777193546295,0.6779707074165344,0.001554430229589343,0.03839287906885147
13,0.6845635175704956,0.0011046606814488769,7.5431144e-06,0.04564728960394859,0.6913609504699707,0.0016665677540004253,0.038918960839509964
14,0.6973294019699097,0.0010804341873154044,6.2344916e-06,0.04655410349369049,0.7035378813743591,0.0017966236919164658,0.0392436720430851
